序号,综合评价,排名
1011,0.4667,805
4286,0.4665,806
3036,0.4665,807
4061,0.4664,808
4059,0.4661,809
3192,0.4660,810
1109,0.4659,811
3905,0.4659,812
5341,0.4659,813
1120,0.4658,814
411,0.4657,815
3658,0.4654,816
2748,0.4651,817
2574,0.4650,818
5269,0.4649,819
3637,0.4648,820
3315,0.4647,821
3955,0.4645,822
1768,0.4643,823
4242,0.4642,824
4905,0.4641,825
4264,0.4639,826
2104,0.4639,827
5278,0.4637,828
3608,0.4636,829
4881,0.4635,830
5228,0.4635,831
3403,0.4635,832
2015,0.4635,833
4302,0.4634,834
3222,0.4633,835
3509,0.4632,836
610,0.4630,837
3336,0.4628,838
501,0.4624,839
5128,0.4620,840
4092,0.4619,841
1787,0.4618,842
817,0.4617,843
746,0.4613,844
2565,0.4611,845
181,0.4610,846
1753,0.4606,847
1385,0.4601,848
3862,0.4599,849
3528,0.4598,850
2770,0.4596,851
2962,0.4591,852
2857,0.4585,853
2030,0.4584,854
4874,0.4584,855
1707,0.4584,856
558,0.4584,857
2457,0.4583,858
139,0.4582,859
2907,0.4577,860
1470,0.4568,861
3190,0.4568,862
1399,0.4567,863
5241,0.4567,864
2787,0.4567,865
4393,0.4566,866
4495,0.4564,867
1038,0.4563,868
2018,0.4563,869
5381,0.4563,870
4457,0.4562,871
3776,0.4561,872
2288,0.4561,873
4542,0.4560,874
3699,0.4559,875
5100,0.4556,876
2478,0.4555,877
4229,0.4554,878
1107,0.4554,879
2159,0.4537,880
4130,0.4537,881
1475,0.4536,882
4195,0.4535,883
435,0.4534,884
3015,0.4534,885
2621,0.4531,886
302,0.4529,887
4736,0.4529,888
5165,0.4528,889
1655,0.4527,890
2604,0.4526,891
4432,0.4523,892
4387,0.4523,893
545,0.4523,894
5016,0.4521,895
1394,0.4518,896
3504,0.4517,897
1344,0.4515,898
3737,0.4515,899
335,0.4512,900
2175,0.4511,901
2571,0.4505,902
994,0.4505,903
330,0.4500,904
5294,0.4499,905
2554,0.4497,906
770,0.4491,907
3587,0.4490,908
2776,0.4487,909
2639,0.4487,910
2059,0.4486,911
2339,0.4486,912
170,0.4486,913
3318,0.4484,914
56,0.4483,915
1693,0.4481,916
217,0.4481,917
4085,0.4481,918
3155,0.4478,919
2778,0.4477,920
4734,0.4475,921
3501,0.4473,922
931,0.4471,923
2937,0.4467,924
4466,0.4466,925
401,0.4465,926
4060,0.4463,927
3233,0.4458,928
2557,0.4458,929
2048,0.4457,930
1136,0.4456,931
2145,0.4455,932
4034,0.4449,933
3102,0.4449,934
3228,0.4447,935
3,0.4443,936
2891,0.4442,937
1724,0.4439,938
67,0.4438,939
983,0.4438,940
2623,0.4437,941
1767,0.4436,942
3364,0.4436,943
1248,0.4435,944
233,0.4434,945
4071,0.4432,946
1578,0.4431,947
521,0.4427,948
2973,0.4425,949
4564,0.4423,950
4577,0.4420,951
4263,0.4419,952
5359,0.4419,953
2067,0.4417,954
3000,0.4415,955
641,0.4415,956
1918,0.4415,957
4852,0.4413,958
2943,0.4412,959
66,0.4411,960
4872,0.4409,961
412,0.4408,962
4824,0.4406,963
1384,0.4405,964
1523,0.4405,965
4169,0.4404,966
1085,0.4401,967
1589,0.4398,968
3290,0.4394,969
3311,0.4394,970
2813,0.4392,971
3162,0.4392,972
3479,0.4389,973
488,0.4386,974
5352,0.4386,975
4372,0.4384,976
3570,0.4381,977
4668,0.4380,978
2562,0.4379,979
4689,0.4378,980
2246,0.4377,981
4636,0.4377,982
1572,0.4376,983
918,0.4375,984
2610,0.4372,985
2325,0.4370,986
2601,0.4370,987
1849,0.4369,988
3443,0.4368,989
1342,0.4367,990
2180,0.4367,991
613,0.4366,992
1005,0.4366,993
3386,0.4362,994
422,0.4361,995
4113,0.4360,996
4151,0.4358,997
4859,0.4357,998
2083,0.4356,999
4107,0.4356,1000
1896,0.4354,1001
1060,0.4353,1002
38,0.4353,1003
4524,0.4351,1004
3493,0.4350,1005
4549,0.4348,1006
2320,0.4346,1007
2875,0.4344,1008
3797,0.4341,1009
1094,0.4339,1010
3897,0.4338,1011
4844,0.4336,1012
1129,0.4335,1013
211,0.4332,1014
3169,0.4327,1015
4826,0.4325,1016
2412,0.4325,1017
3123,0.4325,1018
5238,0.4324,1019
2484,0.4324,1020
1182,0.4323,1021
3491,0.4323,1022
1455,0.4323,1023
202,0.4322,1024
787,0.4321,1025
2066,0.4320,1026
426,0.4320,1027
3697,0.4317,1028
4012,0.4317,1029
1824,0.4314,1030
106,0.4313,1031
3757,0.4313,1032
1083,0.4311,1033
4877,0.4311,1034
339,0.4308,1035
250,0.4305,1036
3325,0.4304,1037
2855,0.4303,1038
2401,0.4298,1039
1371,0.4298,1040
3650,0.4298,1041
3926,0.4298,1042
4335,0.4297,1043
2521,0.4296,1044
3487,0.4295,1045
2749,0.4291,1046
5144,0.4290,1047
1669,0.4290,1048
2507,0.4288,1049
4270,0.4288,1050
1864,0.4286,1051
2953,0.4282,1052
2560,0.4282,1053
2969,0.4281,1054
5384,0.4281,1055
1842,0.4279,1056
246,0.4276,1057
2674,0.4274,1058
2881,0.4270,1059
5415,0.4268,1060
1537,0.4268,1061
3087,0.4268,1062
2077,0.4266,1063
2591,0.4266,1064
4055,0.4265,1065
1192,0.4265,1066
2220,0.4263,1067
1226,0.4263,1068
3902,0.4261,1069
2472,0.4261,1070
209,0.4259,1071
1817,0.4258,1072
1803,0.4257,1073
2704,0.4257,1074
959,0.4254,1075
42,0.4254,1076
1443,0.4254,1077
4142,0.4253,1078
2810,0.4251,1079
3237,0.4251,1080
3040,0.4250,1081
1051,0.4249,1082
3118,0.4247,1083
2431,0.4247,1084
1638,0.4247,1085
5154,0.4245,1086
1644,0.4245,1087
319,0.4242,1088
858,0.4242,1089
2902,0.4242,1090
880,0.4241,1091
3791,0.4241,1092
4074,0.4239,1093
1397,0.4239,1094
2092,0.4237,1095
4482,0.4235,1096
2533,0.4235,1097
1128,0.4228,1098
2054,0.4227,1099
2263,0.4224,1100
2678,0.4224,1101
210,0.4223,1102
69,0.4223,1103
2869,0.4222,1104
3770,0.4221,1105
3404,0.4220,1106
881,0.4220,1107
5405,0.4219,1108
3306,0.4216,1109
2333,0.4214,1110
3033,0.4214,1111
5310,0.4213,1112
2403,0.4212,1113
3034,0.4209,1114
376,0.4208,1115
4831,0.4208,1116
3888,0.4207,1117
3931,0.4205,1118
4729,0.4204,1119
4461,0.4202,1120
1411,0.4201,1121
3456,0.4200,1122
2944,0.4199,1123
553,0.4197,1124
5208,0.4192,1125
4354,0.4191,1126
5155,0.4188,1127
290,0.4186,1128
1127,0.4183,1129
399,0.4183,1130
1927,0.4182,1131
17,0.4181,1132
1611,0.4181,1133
535,0.4181,1134
1198,0.4179,1135
3665,0.4178,1136
838,0.4176,1137
2994,0.4175,1138
1760,0.4174,1139
4064,0.4173,1140
3543,0.4173,1141
4357,0.4172,1142
3448,0.4171,1143
4198,0.4169,1144
802,0.4169,1145
2531,0.4169,1146
194,0.4168,1147
3473,0.4165,1148
5169,0.4162,1149
1066,0.4161,1150
502,0.4161,1151
3780,0.4161,1152
1780,0.4160,1153
3422,0.4160,1154
4220,0.4158,1155
3640,0.4157,1156
5349,0.4157,1157
3866,0.4157,1158
775,0.4156,1159
4800,0.4154,1160
780,0.4153,1161
268,0.4152,1162
3119,0.4150,1163
